time [s]	total_relief [m]	mean incision[m/s]	mean diffusion [m/s]	energy expenditure [J/s]
3.720000000000000000e+03	2.344777300113694632e-02	5.075929809907227343e-07	-3.485595111158554099e-09	4.958456069401311495e-04
3.780000000000000000e+03	2.361490703861137200e-02	5.107239430234322859e-07	-3.501759664325101032e-09	4.994205975824595216e-04
3.840000000000000000e+03	2.378209933591496350e-02	5.139708434081466141e-07	-3.517428964514454247e-09	5.030240475661792131e-04
3.900000000000000000e+03	2.394934922344436196e-02	5.172260908369755801e-07	-3.532904072366146633e-09	5.070092407239627872e-04
3.960000000000000000e+03	2.411674640009176321e-02	5.203946591278468411e-07	-3.548030783403813024e-09	5.106240411050089320e-04
4.020000000000000000e+03	2.428409174911096841e-02	5.235847913169045088e-07	-3.563438617812640714e-09	5.141941024699742818e-04
4.080000000000000000e+03	2.445146460423640658e-02	5.269372630407591757e-07	-3.578450362183426911e-09	5.177253133543597338e-04
4.140000000000000000e+03	2.461889437343845952e-02	5.301445610117107425e-07	-3.593164735808898398e-09	5.212998739850144845e-04
4.200000000000000000e+03	2.478638348651034107e-02	5.333166678492208798e-07	-3.608224158971664053e-09	5.248993676908916264e-04
4.260000000000000000e+03	2.495392412010033478e-02	5.364816891112186381e-07	-3.622964802071713081e-09	5.287199528481253573e-04
4.320000000000000000e+03	2.512156953734975828e-02	5.396702370375727145e-07	-3.637368581558634617e-09	5.322505701193972838e-04
4.380000000000000000e+03	2.528967723402392176e-02	5.428886630020487412e-07	-3.651280483494892162e-09	5.357618122407266587e-04
4.440000000000000000e+03	2.545782939775128456e-02	5.459945565306159454e-07	-3.665171884120932096e-09	5.392683696097377551e-04
4.500000000000000000e+03	2.562602337605017488e-02	5.493612915656864689e-07	-3.678780045061383503e-09	5.428265507380669640e-04
